Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Sashimi,Sushi menu - Sashimi,0 - Vocab,Fresh sashimi (sliced raw fish) platter,,鮮魚お造り/刺し身,,,
Sashimi,,,3 assorted sashimi,,三種盛り,,,
Sashimi,,,5 assorted sashimi,,五種盛り,,,
Sashimi,,,Pacific bluefin tuna (fatty tuna),,本マグロ大トロ造り,,,
Sashimi,,,Pacific bluefin tuna (medium fatty tuna),,本マグロ中トロ造り,,,
Sashimi,,,Pacific bluefin tuna (lean tuna),,本マグロ赤身造り,,,
Sashimi,,,Bonito / skipjack tuna,,鰹造り,,,
Sashimi,,,Straw-grilled bonito / Lightly roasted bonito,,鰹タタキ（藁焼き）,,,
Sashimi,,,Yellowtail,,ブリ,,,
Sashimi,,,Amberjack,,カンパチ造り,,,
Sashimi,,,Yellowtail Amberjack,,ヒラマサ造り,,,
Sashimi,,,Salmon,,サーモン造り,,,
Sashimi,,,Toro Salmon / Fatty salmon,,トロサーモン造り,,,
Sashimi,,,Squid,,イカ造り,,,
Sashimi,,,Sardine,,イワシ造り,,,
Sashimi,,,Horse mackerel,,アジ造り,,,
Sashimi,,,Sashimi arranged in the original shape of the Japanese horse mackerel,,鯵の姿造り,,,
Sashimi,,,Herring,,鰊・ニシン造り,,,
Sashimi,,,Thinly-sliced sea bream,,鯛の薄造り,,,
Sashimi,,,Sea urchin,,生うに,,,
Sashimi,,,Thread-sail filefish,,カワハギ造り,,,
Sashimi,,,Tiger pufferfish sashimi,,ふぐ刺し（虎河豚）,,,
Nigiri,Sushi menu - Nigiri,0 - Vocab,Nigiri Sushi,,握り寿司,,,
Nigiri,,,Tuna,,鮪,,,
Nigiri,,,Lean tuna,,まぐろ赤身,,,
Nigiri,,,Medium-fat tuna,,まぐろ中トロ,,,
Nigiri,,,Fatty tuna,,まぐろ大トロ,,,
Nigiri,,,Assorted tuna,,まぐろ三昧,,,
Nigiri,,,Tuna in soy sauce,,鮪ヅケ,,,
Nigiri,,,Squid,,烏賊,,,
Nigiri,,,Squid tentacles (raw),,烏賊下足,,,
Nigiri,,,Swordtip squid,,剣先いか,,,
Nigiri,,,Cuttlefish,,墨烏賊,,,
Nigiri,,,Firefly squid,,蛍烏賊,,,
Nigiri,,,Raw octopus,,蛸,,,
